country,flag,hydro,coal,oil,nuclear,gas
Egypt,calc,-0.33149999999999835,-8.826999999999998,-12.023499999999984,0.0,15.430500000000052
Estonia,calc,0.0024999999999999988,-4.044999999999998,0.09949999999999992,0.0,0.10100000000000042
Estonia,actual,0.028999999999999998,-6.696999999999999,0.4649999999999981,0.0,-0.36099999999999977
Finland,calc,4.289999999999999,-7.064999999999998,-8.802499999999995,-0.5625,0.18849999999999945
Finland,actual,8.973999999999997,-9.617999999999999,-11.24799999999999,-1.6809999999999974,0.379999999999999
France,calc,2.8940000000000055,-4.381,-45.141999999999996,-28.36450000000002,-3.1030000000000086
France,actual,14.364000000000004,-23.441000000000003,-144.00900000000001,-117.56600000000003,-30.79200000000003
Germany,calc,-0.2865000000000002,-2.2830000000000155,-68.16150000000005,-8.153499999999994,12.274999999999977
Germany,actual,-3.8909999999999982,-109.351,-123.95900000000006,-27.63499999999999,-21.754999999999995
Greece,calc,2.452,-17.266999999999996,-12.596000000000004,0.0,6.109999999999999
Greece,actual,-1.7619999999999987,-15.879999999999995,-33.733000000000004,0.0,5.844000000000001
Hong Kong,calc,0.0,-29.304000000000002,-44.694500000000005,0.0,8.546500000000002
Hong Kong,actual,0.0,-33.538000000000004,-71.668,0.0,18.281
Hungary,calc,-0.010999999999999954,-5.449,-0.4164999999999992,-0.5250000000000021,4.832000000000001
Hungary,actual,0.06400000000000006,-1.7920000000000016,-8.551999999999992,-0.7390000000000043,3.490000000000009
India,actual,2.7309999999999945,-274.35100000000057,-254.09299999999985,-1.8049999999999926,11.102999999999952
India,calc,-3.8245000000000005,363.76900000000023,-101.55749999999989,-1.9810000000000016,15.614499999999964
Indonesia,calc,4.421999999999997,-38.000999999999976,-35.406000000000006,0.0,-12.670000000000016
Indonesia,actual,8.104,-35.851,-101.83399999999995,0.0,-28.87900000000002
Iran,calc,-26.543,1.9009999999999998,1.9570000000000505,-3.6674999999999995,55.70899999999983
Iran,actual,-28.323999999999998,2.4849999999999994,-34.97199999999998,-0.26200000000000045,183.7769999999996
Ireland,actual,0.11199999999999966,-1.6820000000000004,-13.668999999999997,0.0,-0.07799999999999585
Ireland,calc,-0.18800000000000006,1.9809999999999999,-3.4849999999999994,0.0,-1.088000000000001
Israel,calc,0.0019999999999999983,-12.665,-6.366,0.0,5.059000000000005
Israel,actual,0.0049999999999999975,-7.429000000000002,-17.26899999999999,0.0,5.463000000000008
Italy,calc,-1.7139999999999986,-12.352000000000004,-28.97399999999999,0.0,7.915500000000009
Italy,actual,2.9059999999999917,-18.281000000000006,-123.56000000000006,0.0,-31.653999999999996
Japan,calc,6.7535000000000025,6.873000000000047,-100.39899999999989,-6.149000000000001,-23.086000000000013
Japan,actual,10.874000000000024,-91.8420000000001,-234.86699999999973,-57.659000000000006,-39.957999999999856
Kazakhstan,calc,-1.1235,-10.93100000000004,5.807999999999993,0.0,9.563000000000002
Kazakhstan,actual,-0.9740000000000002,-21.633000000000038,-22.75,0.0,-20.478999999999985
