country,flag,hydro_energy_per_capita,coal_cons_per_capita,oil_energy_per_capita,nuclear_energy_per_capita,gas_energy_per_capita
Brazil,diff,453.28200000000015,-158.221,-431.0109999999995,-6.157999999999987,-413.212
Brazil,expected,-522.6120000000001,75.77300000000002,48.597999999999956,-20.36500000000001,199.88100000000009
Brazil,actual,-69.32999999999993,-82.44799999999998,-382.41299999999956,-26.522999999999996,-213.3309999999999
Bulgaria,expected,736.3960000000002,465.7089999999989,-281.01800000000003,74.26599999999962,781.3500000000004
Bulgaria,diff,-770.0070000000001,-1927.1679999999997,-494.9930000000004,-8.448999999999614,-610.5290000000005
Bulgaria,actual,-33.610999999999876,-1461.4590000000007,-776.0110000000004,65.81700000000001,170.8209999999999
Canada,expected,-592.4049999999988,-1068.4899999999998,-4482.200999999997,-721.0320000000002,-530.9429999999993
Canada,diff,566.6229999999996,418.51099999999997,-997.0879999999997,432.6179999999995,-662.4150000000009
Canada,actual,-25.781999999999243,-649.9789999999998,-5479.288999999997,-288.41400000000067,-1193.3580000000002
Chile,expected,-542.424,-412.89500000000044,-215.17199999999866,0.0,79.3449999999998
Chile,diff,529.7339999999999,-371.125,-866.7120000000014,0.0,-269.4199999999996
Chile,actual,-12.690000000000055,-784.0200000000004,-1081.884,0.0,-190.07499999999982
China,diff,50.39499999999998,-629.1470000000008,-146.60599999999977,-69.92100000000005,-304.53200000000015
China,actual,76.904,302.3949999999986,35.89000000000033,27.341999999999985,193.52199999999993
China,expected,26.509000000000015,931.5419999999995,182.4960000000001,97.26300000000003,498.0540000000001
Colombia,actual,-289.2600000000002,-136.58800000000008,-736.0130000000004,0.0,12.03500000000031
Colombia,expected,213.6210000000001,-458.17700000000013,265.8739999999998,0.0,-113.55799999999999
Colombia,diff,-502.8810000000003,321.58900000000006,-1001.8870000000002,0.0,125.5930000000003
Croatia,actual,-88.86699999999973,-161.173,-1308.3950000000004,0.0,392.84299999999985
Croatia,expected,874.9230000000002,3.199000000000069,-753.4160000000011,0.0,182.75900000000001
Croatia,diff,-963.79,-164.37200000000007,-554.9789999999994,0.0,210.08399999999983
Denmark,actual,-0.018000000000000682,-226.53999999999996,-2410.035,0.0,-1012.8819999999996
Denmark,expected,-0.42799999999999994,293.405,-2311.4179999999997,0.0,-952.2809999999995
Denmark,diff,0.40999999999999925,-519.9449999999999,-98.61700000000019,0.0,-60.60100000000011
Ecuador,expected,15.017999999999574,25.154999999999998,-214.79299999999967,0.0,-48.599000000000046
Ecuador,diff,-126.66999999999962,-14.932999999999996,-1400.9930000000004,0.0,-14.849999999999966
Ecuador,actual,-111.65200000000004,10.222000000000001,-1615.786,0.0,-63.44900000000001
Egypt,diff,30.618000000000052,-47.908000000000015,-195.1590000000001,0.0,-260.09700000000066
Egypt,actual,12.83200000000005,-135.93800000000002,-536.3620000000001,0.0,-164.04200000000037
Egypt,expected,-17.786,-88.03,-341.203,0.0,96.05500000000029
Estonia,diff,17.908,-2008.2400000000016,193.47599999999875,0.0,-425.30099999999993
Estonia,actual,21.523000000000003,-5086.481,329.0169999999998,0.0,-277.1959999999999
Estonia,expected,3.615000000000002,-3078.240999999998,135.54100000000108,0.0,148.10500000000002
Finland,diff,80.04199999999946,-454.53699999999935,1169.2250000000022,-87.94700000000012,5.010999999999967
Finland,actual,1614.4789999999994,-1750.0779999999995,-2062.6889999999985,-319.6829999999991,63.38999999999987
Finland,expected,1534.437,-1295.5410000000002,-3231.9140000000007,-231.73599999999897,58.378999999999905
France,actual,219.91899999999987,-365.06999999999994,-2250.2569999999996,-1842.8069999999989,-485.9859999999999
France,expected,85.02299999999968,-70.40099999999984,-1426.7099999999991,-911.0739999999987,-110.01200000000063
France,diff,134.89600000000019,-294.6690000000001,-823.5470000000005,-931.7330000000002,-375.97399999999925
Germany,expected,-8.825000000000045,-50.8130000000001,-1682.9220000000005,-202.63799999999992,260.8099999999995
Germany,diff,-39.23199999999997,-1277.7620000000006,161.60699999999997,-133.96000000000004,-545.1910000000007
Germany,actual,-48.057000000000016,-1328.5750000000007,-1521.3150000000005,-336.59799999999996,-284.3810000000012
Greece,expected,481.82500000000005,-1609.809,-2205.3510000000006,0.0,1236.982
Greece,diff,-643.516,119.80799999999999,-905.009,0.0,-649.085
Greece,actual,-161.69099999999992,-1490.001,-3110.3600000000006,0.0,587.8969999999999
Hong Kong,expected,0.0,-3908.080000000001,-11920.522,0.0,2281.576
Hong Kong,diff,0.0,-569.3360000000002,2345.3230000000003,0.0,152.89599999999973
Hong Kong,actual,0.0,-4477.416000000001,-9575.199,0.0,2434.4719999999998
Hungary,expected,-1.9440000000000026,-547.1909999999998,-21.851999999998952,-81.19400000000041,1059.6239999999998
Hungary,actual,6.645000000000003,-179.01899999999978,-855.2649999999994,-66.56500000000051,379.8299999999999
Hungary,diff,8.589000000000006,368.172,-833.4130000000005,14.628999999999905,-679.7939999999999
India,actual,-0.9800000000000182,-230.76400000000012,-201.15499999999997,-2.078000000000003,3.8780000000000427
India,expected,-10.800000000000011,195.77700000000004,-179.36899999999991,-4.25,14.744000000000028
India,diff,9.819999999999993,-426.54100000000017,-21.786000000000058,2.171999999999997,-10.865999999999985
Indonesia,actual,28.079999999999984,-156.74800000000005,-401.0720000000001,0.0,-120.34400000000005
Indonesia,expected,29.155,-184.09299999999985,-306.8899999999999,0.0,-118.26099999999997
Indonesia,diff,-1.075000000000017,27.3449999999998,-94.18200000000024,0.0,-2.0830000000000837
Iran,actual,-333.05899999999986,26.65299999999999,-492.15200000000004,-4.5589999999999975,1895.5430000000015
Iran,expected,-619.722,18.236999999999995,-125.56600000000071,-86.32400000000001,877.2150000000001
Iran,diff,286.6630000000001,8.415999999999997,-366.58599999999933,81.76500000000001,1018.3280000000013
Ireland,expected,-84.07100000000003,353.721,-1726.8009999999995,0.0,-633.4570000000003
Ireland,diff,101.96300000000002,-717.953,-1220.442000000001,0.0,507.70200000000114
Ireland,actual,17.891999999999996,-364.23199999999997,-2947.2430000000004,0.0,-125.7549999999992
Israel,diff,0.17499999999999982,680.7059999999992,-308.8289999999997,0.0,-316.97099999999955
Israel,actual,0.41999999999999993,-963.1130000000003,-2224.224,0.0,411.09100000000035
Israel,expected,0.2450000000000001,-1643.8189999999995,-1915.3950000000004,0.0,728.0619999999999
Italy,diff,97.68299999999999,-104.46499999999992,-1150.786,0.0,-851.496000000001
Italy,actual,56.65299999999979,-302.28999999999996,-2031.2619999999988,0.0,-486.71500000000015
Italy,expected,-41.0300000000002,-197.82500000000005,-880.4759999999987,0.0,364.78100000000086
Japan,diff,-29.464999999999918,-843.6589999999997,-349.45600000000013,-368.4040000000001,7.684999999999491
Japan,actual,93.58300000000008,-685.9989999999998,-1801.9389999999985,-454.6,-281.5030000000006
Japan,expected,123.048,157.65999999999985,-1452.4829999999984,-86.19599999999991,-289.1880000000001
Kazakhstan,diff,81.46299999999997,-331.37699999999677,-1701.5120000000006,0.0,-1957.8829999999998
Kazakhstan,expected,-149.43200000000002,-1061.8690000000024,394.4359999999997,0.0,754.2890000000007
Kazakhstan,actual,-67.96900000000005,-1393.2459999999992,-1307.076000000001,0.0,-1203.5939999999991
Latvia,expected,882.3890000000001,-129.235,-737.4269999999997,0.0,-660.9650000000001
