Year,Country,value
2022,Canada,36.08013698630137
2023,Canada,
2020,Switzerland,42.43153005464481
2021,Switzerland,57.13257534246575
2022,Switzerland,26.52778082191781
2023,Switzerland,
2020,Chile,59.25133879781421
2021,Chile,69.57956164383562
2022,Chile,36.00109589041096
2023,Chile,
2020,China,61.17704918032787
2021,China,74.72578082191781
2022,China,79.89487671232877
2023,China,
2020,Cote d'Ivoire,37.77379781420765
2021,Cote d'Ivoire,32.914191780821916
2022,Cote d'Ivoire,26.864958904109585
2023,Cote d'Ivoire,
2020,Cameroon,34.489672131147536
2021,Cameroon,30.40805479452055
2022,Cameroon,29.82901369863014
2023,Cameroon,
2020,Democratic Republic of Congo,35.992677595628415
2021,Democratic Republic of Congo,31.31276712328767
2022,Democratic Republic of Congo,29.207534246575342
2023,Democratic Republic of Congo,
2020,Congo,39.28770491803279
2021,Congo,39.77986301369863
2022,Congo,35.011945205479456
2023,Congo,
2020,Colombia,56.627377049180325
2021,Colombia,64.9355890410959
2022,Colombia,39.742520547945205
2023,Colombia,
2020,Cape Verde,54.4633606557377
2021,Cape Verde,59.01257534246575
2022,Cape Verde,34.15572602739726
2023,Cape Verde,
2020,Costa Rica,45.1274043715847
2021,Costa Rica,57.310794520547944
2022,Costa Rica,30.048958904109586
2023,Costa Rica,
2020,Cuba,51.372950819672134
2021,Cuba,66.17052054794522
2022,Cuba,33.24191780821918
2023,Cuba,
2020,Cyprus,54.64620218579235
2021,Cyprus,72.64235616438356
2022,Cyprus,49.662904109589036
2023,Cyprus,
2020,Germany,48.91357923497267
2021,Germany,62.079013698630135
2022,Germany,49.383753424657534
2023,Germany,
2020,Djibouti,38.543196721311475
2021,Djibouti,40.74167123287671
2022,Djibouti,33.217479452054796
2023,Djibouti,
2020,Dominica,39.37579234972677
2021,Dominica,50.999753424657534
2022,Dominica,44.94191780821917
2023,Dominica,
2020,Denmark,45.92016393442623
2021,Denmark,53.45515068493151
2022,Denmark,21.8946301369863
2023,Denmark,
2020,Dominican Republic,51.31136612021858
2021,Dominican Republic,59.022684931506845
2022,Dominican Republic,23.00021917808219
2023,Dominican Republic,
2020,Algeria,48.52912568306011
2021,Algeria,60.20241095890411
2022,Algeria,32.01980821917808
2023,Algeria,
2020,Ecuador,53.16494535519126
2021,Ecuador,65.17463013698631
2022,Ecuador,45.61276712328767
2023,Ecuador,
2020,Egypt,53.35409836065573
2021,Egypt,49.62605479452054
2022,Egypt,35.98060273972603
2023,Egypt,
2020,Eritrea,48.21841530054645
2021,Eritrea,53.85750684931507
2022,Eritrea,41.353726027397265
2023,Eritrea,
2020,Spain,51.58601092896175
2021,Spain,61.9112602739726
2022,Spain,36.594191780821916
2023,Spain,
2020,Estonia,35.00289617486339
2021,Estonia,43.77723287671233
2022,Estonia,37.12169863013699
2023,Estonia,
2020,Ethiopia,44.874453551912566
2021,Ethiopia,45.11610958904109
2022,Ethiopia,39.445726027397264
2023,Ethiopia,
2020,Finland,38.43781420765027
2021,Finland,53.03197260273973
2022,Finland,39.9318904109589
2023,Finland,
2020,Fiji,48.634836065573765
2021,Fiji,71.15980821917807
2022,Fiji,46.66627397260274
2023,Fiji,
2020,France,52.562076502732246
2021,France,58.88178082191781
2022,France,32.43394520547945
2023,France,
2020,Gabon,54.80013661202185
2021,Gabon,55.22742465753424
2022,Gabon,26.059150684931506
2023,Gabon,
2020,United Kingdom,55.14306010928962
2021,United Kingdom,63.72419178082191
2022,United Kingdom,24.954520547945204
2023,United Kingdom,
2020,Georgia,49.74494535519126
2021,Georgia,54.380575342465754
2022,Georgia,26.70942465753425
2023,Georgia,
2020,Ghana,37.127076502732244
2021,Ghana,43.96060273972603
2022,Ghana,41.30690410958904
2023,Ghana,
2020,Guinea,44.77051912568306
2021,Guinea,56.1471506849315
2022,Guinea,42.75375342465754
2023,Guinea,
2020,Gambia,40.53032786885246
2021,Gambia,40.039589041095894
2022,Gambia,28.20646575342466
2023,Gambia,
2020,Greece,52.97109289617486
2021,Greece,78.47479452054795
2022,Greece,49.7813698630137
2023,Greece,
2020,Greenland,30.95382513661202
2021,Greenland,46.82673972602739
2022,Greenland,25.219753424657537
2023,Greenland,
2020,Guatemala,51.88846994535519
